#ClusterName #ID Mass LogTeff Logg Av "Log age" DistMod G sigG Bp sigBp Rp sigRp BP-RP MG BP-RP_0 BP-RP_0_lim allDeltas
NGC_6494 2273987966923716381 0.80442 3.6957 4.638 1.3182 8.57978 9.35202 16.31708 0.00064 17.07948 0.00309 15.41896 0.00155 1.66052 5.791862000000001 1.0263589189189188 -0.055766598787442945 0.022531928503005005
NGC_6494 2273987967057926076* 9999.0 9999.0 9999.0 1.26255 8.57978 9.35202 15.94548 0.00051 16.7683 0.00228 15.00194 0.00126 1.7663600000000006 5.4697905 1.1589710810810816 -0.055766598787442945 -0.7330646462420649
NGC_6494 2273987966923712159 1.23575 3.8106 4.384 1.38462 8.57978 9.35202 14.42923 0.00056 14.968 0.00085 13.7096 0.00069 1.2584 3.844898200000001 0.5922855135135136 -0.055766598787442945 0.03796566532202883
NGC_6494 2273987966923703233 0.68527 3.6383 4.669 1.30487 8.57978 9.35202 17.81182 0.00094 18.91236 0.01489 16.699 0.00392 2.213359999999998 7.298465700000001 1.5856117297297279 -0.055766598787442945 0.0741225411544093
NGC_6494 2273987967057931143* 9999.0 9999.0 9999.0 1.08182 8.57978 9.35202 13.78414 0.00046 14.25051 0.00066 13.12871 0.00059 1.1218000000000004 3.469300200000001 0.6013568648648653 -0.055766598787442945 -0.3864810999335915
NGC_6494 2273987966923704826 0.8643 3.7177 4.611 1.05571 8.57978 9.35202 15.84632 0.0006 16.50687 0.00202 15.02532 0.00123 1.4815499999999986 5.5547181000000005 0.9736678918918905 -0.055766598787442945 -0.02368698752437215
NGC_6494 2273987967057921095* 9999.0 9999.0 9999.0 1.33032 8.57978 9.35202 13.62589 0.00045 14.07543 0.00063 12.9903 0.00058 1.0851300000000013 3.0898852000000003 0.4451382162162175 -0.055766598787442945 0.027078896670357455
NGC_6494 2273987966923708611 1.1052 3.7845 4.469 1.437 8.57978 9.35202 14.77621 0.00056 15.35983 0.00101 14.02118 0.00077 1.3386500000000012 4.145260000000001 0.6473364864864878 -0.055766598787442945 0.04305173905959592
NGC_6494 2273987966923708367 1.2384 3.8111 4.382 1.30284 8.57978 9.35202 14.37426 0.00055 14.894 0.00082 13.66918 0.00068 1.2248199999999994 3.8627124 0.5980483243243238 -0.055766598787442945 0.024748486385266055
NGC_6494 2273987967057927911* 9999.0 9999.0 9999.0 1.18538 8.57978 9.35202 13.27139 0.00045 13.74168 0.00058 12.61781 0.00054 1.1238700000000001 2.8643818000000003 0.5536061081081083 -0.055766598787442945 -0.7353582368845353
NGC_6494 2273987966923706438 0.79569 3.6923 4.641 1.45333 8.57978 9.35202 17.09071 0.00075 18.0157 0.00664 16.08141 0.00245 1.9342899999999972 6.445226300000002 1.2351204324324296 -0.055766598787442945 0.025526398167866837
NGC_6494 2273987967057930885A 0.77979 3.686 4.648 1.55354 8.57978 9.35202 17.04704 0.00074 17.97127 0.00639 16.04517 0.00237 1.9261000000000017 6.3123694 1.1787212972972991 -0.055766598787442945 0.05092271870892606
NGC_6494 2273987967057924862* 9999.0 9999.0 9999.0 1.44182 8.57978 9.35202 15.78216 0.0005 16.49188 0.00206 14.92201 0.00114 1.569869999999998 5.146920199999999 0.8762376756756738 -0.055766598787442945 -0.047903902915602536
NGC_6494 2273987967057927311* 9999.0 9999.0 9999.0 1.56722 8.57978 9.35202 16.01964 0.00051 16.77034 0.00249 15.12688 0.00129 1.643460000000001 5.2727942 0.8895001081081092 -0.055766598787442945 0.02319010964236412
NGC_6494 2273987967057932830* 9999.0 9999.0 9999.0 1.34466 8.57978 9.35202 14.84665 0.00047 15.5012 0.00109 14.02902 0.00077 1.4721800000000016 4.297882600000001 0.8252895135135152 -0.055766598787442945 -0.6781043049777971
NGC_6494 2273987966923712778 0.98929 3.7563 4.544 1.31401 8.57978 9.35202 15.6068 0.00059 16.26234 0.00172 14.78547 0.00108 1.4768699999999981 5.0853111 0.8447246486486468 -0.055766598787442945 0.024225737205492592
NGC_6494 2273987967057929749B 0.723 3.657 4.674 1.27625 8.57978 9.35202 17.02776 0.00074 17.92244 0.00615 16.03743 0.00237 1.8850100000000012 6.539877500000001 1.2710302702702716 -0.055766598787442945 0.026413987717294418
NGC_6494 2273987966923705744 0.92901 3.7388 4.579 1.32921 8.57978 9.35202 15.85076 0.0006 16.54161 0.00208 15.00054 0.00121 1.5410699999999977 5.3157431 0.901612216216214 -0.055766598787442945 0.01685696273671855
NGC_6494 2273987966923714398 0.83212 3.7061 4.626 1.39981 8.57978 9.35202 16.57429 0.00067 17.39207 0.00396 15.64119 0.00179 1.7508800000000004 5.976439100000002 1.0774578918918922 -0.055766598787442945 0.032047089347451596
NGC_6494 2273987966923717020 1.16237 3.7964 4.431 1.25543 8.57978 9.35202 14.43712 0.00056 14.95541 0.00084 13.73316 0.0007 1.2222500000000007 3.9677673000000007 0.6182863783783791 -0.055766598787442945 0.02089505629914523
NGC_6494 2273987967057926224* 9999.0 9999.0 9999.0 1.30475 8.57978 9.35202 16.53644 0.00055 17.35779 0.00377 15.60243 0.00176 1.7553600000000014 6.0231924999999995 1.1276694594594607 -0.055766598787442945 -0.08352210545041316
NGC_6494 2273987967057927318* 9999.0 9999.0 9999.0 1.5247 8.57978 9.35202 13.15091 0.00045 13.53848 0.00056 12.57785 0.00054 0.9606300000000001 2.441907 0.22712567567567588 -0.055766598787442945 0.012412672396927782
NGC_6494 2273987966923711324 1.03936 3.7693 4.513 1.32714 8.57978 9.35202 15.16908 0.00057 15.77267 0.00127 14.39074 0.00089 1.3819300000000005 4.6359053999999995 0.7434680540540547 -0.055766598787442945 0.04124178098594555
NGC_6494 2273987967057925588* 9999.0 9999.0 9999.0 1.31975 8.57978 9.35202 17.58432 0.00072 18.76321 0.01308 16.45911 0.00318 2.304100000000002 7.057722500000002 1.669193243243245 -0.055766598787442945 -0.35112317160517303
NGC_6494 2273987966923708223 0.87809 3.7224 4.605 1.39118 8.57978 9.35202 16.20274 0.00063 16.95209 0.00281 15.31024 0.00145 1.641849999999998 5.612569799999999 0.9725796216216197 -0.055766598787442945 0.03822288892102499
NGC_6494 2273987967057921349B 0.919 3.718 4.569 1.38955 8.57978 9.35202 15.83805 0.0006 16.53639 0.00207 14.98598 0.0012 1.5504100000000012 5.249330500000001 0.881923783783785 -0.055766598787442945 0.030913899009541446
NGC_6494 2273987966923704848 0.68086 3.6359 4.67 1.31488 8.57978 9.35202 17.7767 0.00093 18.89346 0.0143 16.66331 0.00383 2.230150000000002 7.254436800000002 1.59758610810811 -0.055766598787442945 0.002088335325089119
NGC_6494 2273987966923708530 0.60119 3.594 4.697 1.25518 8.57978 9.35202 17.92576 0.00099 19.0578 0.01698 16.80151 0.00425 2.25629 7.456629800000001 1.6524466486486487 -0.055766598787442945 0.08103220075169215
NGC_6494 2273987966923715195 0.95153 3.7457 4.567 1.23664 8.57978 9.35202 15.33236 0.00058 15.9439 0.0014 14.5477 0.00096 1.3961999999999986 4.8797304 0.8012758918918905 -0.055766598787442945 0.011756717741485012
NGC_6494 2273987967057934194A 0.67585 3.6331 4.671 1.44774 8.57978 9.35202 17.82549 0.00095 18.97897 0.01524 16.70952 0.00396 2.269449999999999 7.184981399999999 1.5729696756756748 -0.055766598787442945 -0.009805044712681621
NGC_6494 2273987966923711679 0.78509 3.6881 4.646 1.38236 8.57978 9.35202 16.9566 0.00072 17.84418 0.00575 15.96895 0.00226 1.875230000000002 6.374279600000002 1.2102027567567588 -0.055766598787442945 0.02283042664531898
NGC_6494 2273987967057921362* 9999.0 9999.0 9999.0 1.10506 8.57978 9.35202 13.26938 0.00045 13.649 0.00057 12.70596 0.00055 0.9430399999999999 2.9338566000000004 0.41141654054054044 -0.055766598787442945 0.012032751724597723
NGC_6494 2273987966923715463 0.97986 3.7536 4.55 1.26164 8.57978 9.35202 15.51129 0.00059 16.1496 0.00159 14.70454 0.00104 1.4450599999999998 5.036410400000001 0.8381088648648647 -0.055766598787442945 0.0040636152182349505
NGC_6494 2273987967057930268B 1.013 3.738 4.519 1.23407 8.57978 9.35202 15.21475 0.00057 15.81445 0.00129 14.44261 0.00091 1.3718400000000006 4.764407700000001 0.7781522702702709 -0.055766598787442945 0.003503230974252425
NGC_6494 2273987966923711301 0.65814 3.6235 4.675 1.29905 8.57978 9.35202 17.54993 0.00086 18.58893 0.01098 16.47354 0.00329 2.1153900000000014 7.041755500000001 1.4904416216216232 -0.055766598787442945 0.03399924973762758
NGC_6494 2273987967057929883* 9999.0 9999.0 9999.0 1.24281 8.57978 9.35202 17.61398 0.00073 18.70004 0.01309 16.51625 0.00329 2.183790000000002 7.1558591000000025 1.5858976216216236 -0.055766598787442945 -0.06915311554345216
NGC_6494 2273987966923705404 0.86644 3.7184 4.61 1.30863 8.57978 9.35202 16.06277 0.00062 16.78503 0.00247 15.19367 0.00135 1.5913599999999999 5.546069300000001 0.9618028648648648 -0.055766598787442945 0.012168465072291745
NGC_6494 2273987967057921126* 9999.0 9999.0 9999.0 1.30082 8.57978 9.35202 13.59719 0.00045 14.11529 0.00063 12.89546 0.00057 1.21983 3.0874401999999996 0.5940301081081081 -0.055766598787442945 -0.7288855873985605
NGC_6494 2273987967057933963A 0.65165 3.62 4.677 1.62323 8.57978 9.35202 17.72683 0.00091 18.83747 0.01364 16.62122 0.00369 2.2162499999999987 6.9301353 1.4353447567567557 -0.055766598787442945 0.04134871315799593
NGC_6494 2273987966923709967 1.01456 3.763 4.529 1.26516 8.57978 9.35202 15.2482 0.00058 15.85315 0.00133 14.47104 0.00092 1.382109999999999 4.770187600000001 0.7734654594594585 -0.055766598787442945 0.03135273918438308
NGC_6494 2273987967057920635* 9999.0 9999.0 9999.0 1.13154 8.57978 9.35202 14.72887 0.00047 15.3327 0.00101 13.95049 0.00075 1.3822100000000006 4.3697794000000005 0.8378475135135142 -0.055766598787442945 -0.661427264111075
NGC_6494 2273987967057927283* 9999.0 9999.0 9999.0 1.16082 8.57978 9.35202 15.32259 0.00048 15.92357 0.00141 14.54515 0.00095 1.3784200000000002 4.9374402 0.8199714594594597 -0.055766598787442945 -0.014902164727033096
